asset_id,label,asset_class,status,usable_as,rule_or_condition,calibration_wilson95_lcb,test_wilson95_lcb,min_split_wilson95_lcb,calibration_support,test_support,min_split_support,validation_scope,source_run_root,primary_artifact,ingestion_state,next_action
bull_sourcebacked_drawdown_volatility_v1,Bull,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,close_drawdown60 >= -0.0032047199531 AND volatility <= 0.152179344579,0.952516,0.961931,,2202,3125,,index+single_stock;1d+1w,engine://regime-confidence-assets/bull_sourcebacked_drawdown_volatility_v1/source,engine://regime-confidence-assets/bull_sourcebacked_drawdown_volatility_v1/evidence,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not treat as Board B profit factor
bear_sourcebacked_drawdown_return_ratio_v1,Bear,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,bear_drawdown_ratio >= 1 AND bear_return_ratio >= 1,0.993968,0.992722,,633,524,,crypto+equity_etf;1d+1w,engine://regime-confidence-assets/bear_sourcebacked_drawdown_return_ratio_v1/source,engine://regime-confidence-assets/bear_sourcebacked_drawdown_return_ratio_v1/evidence,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not treat as Board B profit factor
sideways_sourcebacked_abs_return_range_v1,Sideways,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,sideways_abs_return_ratio <= 0.505204858191 AND sideways_range_ratio <= 0.357222193236,0.988647,0.995568,,495,863,,crypto+equity_etf;1d+1w,engine://regime-confidence-assets/sideways_sourcebacked_abs_return_range_v1/source,engine://regime-confidence-assets/sideways_sourcebacked_abs_return_range_v1/evidence,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not treat as Board B profit factor
crisis_range_ratio_intraday_v1,Crisis,source_backed_parent_root,V2_accepted_95_scope_limited,board_a_regime_gate,range_ratio32_128 >= 1.43116959912,0.996248,0.995981,,1020,952,,BTC-USD+ES=F+NQ+NQ=F+PF_XBTUSD+QQQ+SPY;15m+1h,engine://regime-confidence-assets/crisis_range_ratio_intraday_v1/source,engine://regime-confidence-assets/crisis_range_ratio_intraday_v1/evidence,recovered_not_candidate_pack,wire into Board A regime-gate artifact surface; do not use to complete Manipulation
manipulation_telegram_direct_event_v1,Manipulation,direct_event_overlay,direct_event_95_provenance_full_coverage_blocked,direct_event_overlay,classified_telegram_coin_pump_event_present == 1,0.999735,0.999701,,14516,12834,,365 test coins;167 test channels;chronological 2017-05-18..2018-07-23,engine://regime-confidence-assets/manipulation_telegram_direct_event_v1/source,engine://regime-confidence-assets/manipulation_telegram_direct_event_v1/evidence,recovered_not_candidate_pack,preserve as suppression/abstain/cooldown overlay; needs direct order-flow/lifecycle expansion before full coverage
same_source_timeframe_1mo_sideways_v1,Sideways,same_source_timeframe_gate,accepted_95_source_consensus_axiswise_partial,board_a_regime_gate,label_share >= 0.95 monthly Sideways consensus,0.959409,0.952936,0.952936,,,50,same-source monthly axiswise;heldout ticker LCB 0.966575,engine://regime-confidence-assets/same_source_timeframe_1mo_sideways_v1/source,engine://regime-confidence-assets/same_source_timeframe_1mo_sideways_v1/evidence,recovered_from_log_only,extract compact packet or locate original run root before promotion
weekly_bull_source_consensus_v1,Bull,same_source_timeframe_gate,accepted_weekly_95_gate,board_a_regime_gate,weekly source consensus Bull,0.983916,0.967122,0.967122,,,50,1w;heldout ticker LCB 0.985817,engine://regime-confidence-assets/weekly_bull_source_consensus_v1/source,engine://regime-confidence-assets/weekly_bull_source_consensus_v1/evidence,recovered_from_log_only,extract compact packet or locate original run root before promotion
weekly_sideways_source_consensus_v1,Sideways,same_source_timeframe_gate,accepted_weekly_95_gate,board_a_regime_gate,weekly source consensus Sideways,0.977113,0.955765,0.955765,,,50,1w;heldout ticker LCB 0.971387,engine://regime-confidence-assets/weekly_sideways_source_consensus_v1/source,engine://regime-confidence-assets/weekly_sideways_source_consensus_v1/evidence,recovered_from_log_only,extract compact packet or locate original run root before promotion
stock_market_regime_bull_v1,Bull,scoped_stock_market_regime_parent_root,accepted_95_scoped_stock_market_regimes_parent_roots_full_matrix_still_blocked,board_a_regime_gate,range_pos_252 >= 0.97,0.980946,0.979723,0.979723,,,,stock market regimes;heldout ticker LCB 0.983693,engine://regime-confidence-assets/stock_market_regime_bull_v1/source,engine://regime-confidence-assets/stock_market_regime_bull_v1/evidence,recovered_from_log_only,locate run packet and decide whether it supersedes or supports sourcebacked Bull
stock_market_regime_bear_v1,Bear,scoped_stock_market_regime_parent_root,accepted_95_scoped_stock_market_regimes_parent_roots_full_matrix_still_blocked,board_a_regime_gate,ret_sum_20 <= -0.0477408661 AND range_pos_252_date_rank <= 0.05555555556 AND range_pos_252 <= 0.102802065,0.974782,0.963920,0.963920,,,,stock market regimes;heldout ticker LCB 0.981443,engine://regime-confidence-assets/stock_market_regime_bear_v1/source,engine://regime-confidence-assets/stock_market_regime_bear_v1/evidence,recovered_from_log_only,locate run packet and decide whether it supersedes or supports sourcebacked Bear
stock_market_regime_sideways_v1,Sideways,scoped_stock_market_regime_parent_root,accepted_95_scoped_stock_market_regimes_parent_roots_full_matrix_still_blocked,board_a_regime_gate,regime_confidence >= 0.857 AND volatility <= 0.25 AND range_width_60 <= 0.25 AND abs(ret_sum_20) <= 0.05,0.996869,0.993711,0.993711,,,,stock market regimes;heldout ticker LCB 0.998719,engine://regime-confidence-assets/stock_market_regime_sideways_v1/source,engine://regime-confidence-assets/stock_market_regime_sideways_v1/evidence,recovered_from_log_only,locate run packet and decide whether it supersedes or supports sourcebacked Sideways
stock_market_regime_crisis_v1,Crisis,scoped_stock_market_regime_parent_root,accepted_95_scoped_stock_market_regimes_parent_roots_full_matrix_still_blocked,board_a_regime_gate,drawdown_252 <= -0.4112279736 AND ret_sum_20 >= 0.1485748712 AND volatility >= 0.443713301,0.961906,0.974701,0.961906,,,,stock market regimes;heldout ticker LCB 0.975366,engine://regime-confidence-assets/stock_market_regime_crisis_v1/source,engine://regime-confidence-assets/stock_market_regime_crisis_v1/evidence,recovered_from_log_only,locate run packet and decide whether it supersedes or supports Crisis
hgb_numeric_bear_confidence_v1,Bear,hgb_numeric_confidence_screen,diagnostic_source_control_absent,diagnostic_after_source_control_unlock,hgb_numeric_probability(Bear) >= 0.98,,,0.9787578642,,,177,39 instruments;4 periods;2 contexts,engine://regime-confidence-assets/hgb_numeric_bear_confidence_v1/source,engine://regime-confidence-assets/hgb_numeric_bear_confidence_v1/evidence,recovered_not_candidate_pack,use only after source/control unlock; no canonical merge or downstream promotion yet
hgb_numeric_bull_confidence_v1,Bull,hgb_numeric_confidence_screen,diagnostic_source_control_absent,diagnostic_after_source_control_unlock,hgb_numeric_probability(Bull) >= 0.97,,,0.9908918883,,,618,39 instruments;4 periods;2 contexts,engine://regime-confidence-assets/hgb_numeric_bull_confidence_v1/source,engine://regime-confidence-assets/hgb_numeric_bull_confidence_v1/evidence,recovered_not_candidate_pack,use only after source/control unlock; no canonical merge or downstream promotion yet
hgb_numeric_crisis_confidence_v1,Crisis,hgb_numeric_confidence_screen,diagnostic_source_control_absent,diagnostic_after_source_control_unlock,hgb_numeric_probability(Crisis) >= 0.985,,,0.9930261988,,,547,40 instruments;4 periods;3 contexts,engine://regime-confidence-assets/hgb_numeric_crisis_confidence_v1/source,engine://regime-confidence-assets/hgb_numeric_crisis_confidence_v1/evidence,recovered_not_candidate_pack,use only after source/control unlock; no canonical merge or downstream promotion yet
hgb_numeric_sideways_confidence_v1,Sideways,hgb_numeric_confidence_screen,diagnostic_source_control_absent,diagnostic_after_source_control_unlock,hgb_numeric_probability(Sideways) >= 0.97,,,0.990666799,,,534,39 instruments;4 periods;3 contexts,engine://regime-confidence-assets/hgb_numeric_sideways_confidence_v1/source,engine://regime-confidence-assets/hgb_numeric_sideways_confidence_v1/evidence,recovered_not_candidate_pack,use only after source/control unlock; no canonical merge or downstream promotion yet
crisis_crash_crosswalk_v1,Crisis,subclass_crosswalk_provenance,accepted_95_provenance_for_active_crisis_root,board_a_regime_gate_support,range_ratio32_128 >= 1.354447594 AND vol_ratio32_128 >= 1.34848093042,0.986647,0.982044,,542,402,,CrisisCrash crosswalk from CrisisStress,engine://regime-confidence-assets/crisis_crash_crosswalk_v1/source,engine://regime-confidence-assets/crisis_crash_crosswalk_v1/evidence,recovered_from_log_only,preserve as Crisis support only; do not count as new parent root
bsc_meme_wash_maker_direct_slice_v1,Manipulation,bounded_direct_manipulation_slice,accepted_95_bounded_not_full_coverage,direct_event_overlay_support,bounded BSC meme wash maker direct slice,0.995736,0.996067,0.995736,,,,bounded direct slice;positive/negative controls present,engine://regime-confidence-assets/bsc_meme_wash_maker_direct_slice_v1/source,engine://regime-confidence-assets/bsc_meme_wash_maker_direct_slice_v1/evidence,recovered_from_log_only,locate original packet; preserve as bounded overlay support only
zenodo_dex_selftrade_direct_slice_blocked_v1,Manipulation,blocked_direct_manipulation_slice,blocked_zenodo_dex_selftrade_slice_below_95,contrast_evidence,maker == taker OR get == give self-trade direct signature,0.990488,0.990488,0.675592,1000,1000,,IDEX+EtherDelta;per-venue/class support sparse,engine://regime-confidence-assets/zenodo_dex_selftrade_direct_slice_blocked_v1/source,engine://regime-confidence-assets/zenodo_dex_selftrade_direct_slice_blocked_v1/evidence,recovered_contrast_evidence,do not promote; keep as blocked direct-slice provenance until per-venue support is repaired
mendeley_gox_hgb_wash_blocked_v1,Manipulation,blocked_direct_manipulation_model,blocked_mendeley_gox_hgb_wash_below_95,contrast_evidence,Gox HGB non-leaky wash classifier,0.976728,0.985615,0.976728,33610,9961,,Gox rows;coverage/ECE fail Board A acceptance,engine://regime-confidence-assets/mendeley_gox_hgb_wash_blocked_v1/source,engine://regime-confidence-assets/mendeley_gox_hgb_wash_blocked_v1/evidence,recovered_contrast_evidence,do not retry as accepted without coverage and ECE repair
mendeley_multifile_wash_blocked_v1,Manipulation,blocked_direct_manipulation_model,blocked_mendeley_multifile_no_chronology_grade_95_rule,contrast_evidence,LooksRare+Blur+Gox non-leaky wash screens,,,0.887193,,,,NFT timestamp-drop/order blocker;Gox below 95,engine://regime-confidence-assets/mendeley_multifile_wash_blocked_v1/source,engine://regime-confidence-assets/mendeley_multifile_wash_blocked_v1/evidence,recovered_contrast_evidence,preserve as contrast evidence; do not generalize to direct Manipulation
bayi_sequence_manipulation_blocked_v1,Manipulation,blocked_direct_manipulation_model,blocked_sequence_ranking_manipulation_below_95,contrast_evidence,sequence/ranking manipulation candidate,,,0.940528,,,472,calibration/test below 95,engine://regime-confidence-assets/bayi_sequence_manipulation_blocked_v1/source,engine://regime-confidence-assets/bayi_sequence_manipulation_blocked_v1/evidence,recovered_contrast_evidence,keep as failed candidate provenance only
source_confidence_labels_061421_blocked_v1,MainRegimeV2,blocked_source_confidence_labels,accepted_source_confidence_labels_0_of_4,contrast_evidence,source-owned confidence >= 0.95 across required splits,,,0,,,,calibration+heldout_market+heldout_time+test,engine://regime-confidence-assets/source_confidence_labels_061421_blocked_v1/source,engine://regime-confidence-assets/source_confidence_labels_061421_blocked_v1/evidence,recovered_contrast_evidence,do not promote source-confidence labels until all four roots pass split gates
hgb_numeric_bear_partial_reject_v1,Bear,partial_numeric_confidence_reject,heldout_market_wilson95_below_0.95,contrast_evidence,hgb_numeric_probability(Bear) >= 0.965,,,0.9465286635,,,68,heldout-market split only,engine://regime-confidence-assets/hgb_numeric_bear_partial_reject_v1/source,engine://regime-confidence-assets/hgb_numeric_bear_partial_reject_v1/evidence,recovered_contrast_evidence,do not use partial Bear threshold as accepted full gate
provider_native_preflight_no_acceptance_v1,MainRegimeV2,blocked_provider_preflight,accepted_95_contexts_added_0,contrast_evidence,native provider acquisition preflight without downstream AQ/Pre-Bayes/BBN/CatBoost/execution-tree,,,,,,,providers tested 6;accepted contexts 0,engine://regime-confidence-assets/provider_native_preflight_no_acceptance_v1/source,engine://regime-confidence-assets/provider_native_preflight_no_acceptance_v1/evidence,recovered_contrast_evidence,keep acquisition evidence separate from Board A acceptance
